title,year,popularity,URL
So. Central Rain ,2011,13.726078121136,http://www.metrolyrics.com/so-central-rain-lyrics-rem.html
Pretty Persuasion ,2006,13.726078121136,http://www.metrolyrics.com/pretty-persuasion-lyrics-rem.html
That Someone Is You ,2011,13.726078121136,http://www.metrolyrics.com/that-someone-is-you-lyrics-rem.html
King of Birds ,2008,13.726078121136,http://www.metrolyrics.com/king-of-birds-lyrics-rem.html
Catapult ,2006,13.726078121136,http://www.metrolyrics.com/catapult-lyrics-rem.html
Camera ,2006,13.726078121136,http://www.metrolyrics.com/camera-lyrics-rem.html
Disguised ,2016,13.726078121136,http://www.metrolyrics.com/disguised-lyrics-rem.html
Animal ,2003,13.726078121136,http://www.metrolyrics.com/animal-lyrics-rem.html
Disappear ,2014,13.726078121136,http://www.metrolyrics.com/disappear-lyrics-rem.html
Green Grow The Rushes ,2006,13.726078121136,http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html
Kohoutek ,2006,13.726078121136,http://www.metrolyrics.com/kohoutek-lyrics-rem.html
Arms Of Love ,2006,13.726078121136,http://www.metrolyrics.com/arms-of-love-lyrics-rem.html
,,,
Everybody Hurts ,So You Think You Can Dance,100,http://www.metrolyrics.com/everybody-hurts-lyrics-so-you-think-you-can-dance.html
Losing My Religion ,Glee Cast,6,http://www.metrolyrics.com/losing-my-religion-lyrics-glee-cast.html
Everybody Hurts ,X Factor (US),6,http://www.metrolyrics.com/everybody-hurts-lyrics-x-factor-us.html
Everybody Hurts ,American Idol,6,http://www.metrolyrics.com/everybody-hurts-lyrics-american-idol.html
Everybody Hurts ,X Factor (UK),6,http://www.metrolyrics.com/everybody-hurts-lyrics-x-factor-uk.html
